brand,model,engine_type,engine_code,obd_available,rpm,speed,coolant_temp,intake_temp,throttle_pos,engine_load,map,maf,short_fuel_trim,long_fuel_trim,o2_voltage,dtc_count,fault_label,symptom_power_loss,symptom_hard_start,symptom_rough_idle,symptom_black_smoke,symptom_blue_smoke,symptom_white_smoke,symptom_high_consumption,symptom_check_engine,symptom_engine_vibration,symptom_misfire_feel,symptom_stalls_idle,symptom_overheating,symptom_hard_start_hot,symptom_hard_start_cold,symptom_slow_acceleration,symptom_fuel_smell,symptom_rpm_fluctuation,symptom_three_cylinders,symptom_coolant_loss,symptom_low_turbo_pressure,symptom_turbo_whistle,symptom_limp_mode,symptom_no_throttle_response,symptom_weak_battery,symptom_slow_crank,symptom_alternator_not_charging,symptom_battery_light,symptom_fan_runs_often,symptom_temp_drops_while_driving,symptom_slow_warmup,symptom_timing_chain_noise,symptom_dpf_light,symptom_frequent_dpf_regen,symptom_sulfur_smell,symptom_hard_shifting,symptom_gearbox_jerks,symptom_oil_consumption,symptom_metallic_noise,symptom_brake_vibration,symptom_pulls_side,symptom_abs_light,symptom_esp_light,symptom_brake_squeal,symptom_soft_brake_pedal,symptom_steering_wheel_vibration,symptom_noise_over_bumps,symptom_wheel_knock,symptom_steering_play,symptom_pulls_when_braking
Opel,A4,2.2 diesel,K9K,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford,A4,2.0 TDI,N47,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,dpf_issue,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMW,A4,1.9 TDI,BLS,1,888,107,113,39,30.12,54.06,51.45,9.45,1.83,3.59,0.35,2,coolant_leak,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BMW,Passat,2.0 TDI,BLS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,misfire,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skoda,C Class,2.0 TDI,AXR,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,cooling_issue,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Audi,Golf,1.8 benzina,N47,1,889,117,89,27,18.99,44.81,42.07,7.94,14.9,21.16,0.05,3,o2_sensor_issue,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VW,Megane,2.2 diesel,BKD,1,772,105,55,42,12.41,48.55,58.29,27.23,-1.92,2.48,0.22,3,thermostat_issue,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Skoda,Megane,1.5 dCi,DV6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,transmission_issue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Mercedes,Astra,1.8 benzina,AXR,1,794,9,91,29,11.76,48.34,49.94,26.85,-3.55,-2.23,0.72,0,normal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota,Avensis,2.0 benzina,BLS,1,779,18,90,34,8.77,37.22,54.37,6.99,-3.01,-2.61,0.34,0,normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Opel,Astra,2.0 benzina,BLS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,starter_issue,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes,Golf,2.0 benzina,N47,1,890,116,106,44,9.1,15.23,38.15,21.11,3.56,4.95,0.35,4,cooling_issue,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota,Astra,2.0 TDI,BKD,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,suspension_issue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
Peugeot,Avensis,1.9 TDI,DV6,1,752,8,84,22,31.27,43.18,56.76,34.18,12.62,21.84,0.25,4,injector_issue,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
